Date,Price,Open,High,Low,Vol.,Change %
26-Dec-13,9210.57,9262.49,9298.94,9210.57,-,-0.53%
25-Dec-13,9259.52,9269.99,9277.27,9243.24,-,-0.36%
24-Dec-13,9292.53,9283.55,9292.55,9251.89,-,-0.01%
23-Dec-13,9293.26,9270.72,9299.13,9260.04,-,0.15%
20-Dec-13,9279.48,9335.8,9340.24,9269.68,-,-0.94%
19-Dec-13,9367.56,9317.66,9367.56,9314.76,-,0.29%
18-Dec-13,9340.2,9330.64,9350.23,9297.43,-,-0.10%
17-Dec-13,9349.76,9360.36,9362.34,9319.79,-,-0.05%
16-Dec-13,9354.52,9306.56,9354.52,9293.17,-,0.42%
13-Dec-13,9315.57,9301.7,9341.26,9295.89,-,-0.05%
12-Dec-13,9320.66,9241.91,9320.66,9241.91,-,0.74%
11-Dec-13,9252.3,9239.97,9252.3,9194.57,-,0.12%
10-Dec-13,9241.4,9203.46,9263.15,9196.77,-,0.22%
9-Dec-13,9221.4,9235.06,9277,9199.47,-,-0.21%
6-Dec-13,9240.41,9310.02,9340.03,9240.39,-,-0.93%
5-Dec-13,9327.31,9308.43,9353.22,9308.12,-,-0.03%
4-Dec-13,9330.21,9283.85,9348.76,9268.85,-,0.10%
3-Dec-13,9321.07,9308.96,9332.21,9276.7,-,0.25%
2-Dec-13,9297.4,9259.18,9297.4,9254.71,-,0.38%
29-Nov-13,9262.49,9309.44,9326.08,9262.49,-,-0.31%
28-Nov-13,9291.74,9316.89,9318.06,9247.35,-,0.00%
27-Nov-13,9292.18,9269.14,9332.72,9246.36,-,0.45%
26-Nov-13,9250.36,9285.15,9295.57,9229.67,-,-0.27%
25-Nov-13,9275.38,9119.52,9275.38,9114.01,-,1.26%
22-Nov-13,9159.77,9191.96,9195.54,9136.1,-,-0.43%
21-Nov-13,9199.4,9213.25,9232.38,9198.29,-,-0.49%
20-Nov-13,9244.31,9217.37,9244.31,9199.52,-,-0.06%
19-Nov-13,9249.8,9222.94,9253.27,9209.86,-,0.01%
15-Nov-13,9249.18,9270.25,9292.87,9249.18,-,-0.34%
14-Nov-13,9280.62,9256.22,9302.93,9256.22,-,0.15%
13-Nov-13,9266.37,9196.22,9270.47,9187.72,-,0.56%
12-Nov-13,9214.88,9278.34,9281.26,9197.4,-,-0.48%
11-Nov-13,9259.66,9295.57,9318.96,9259.66,-,-0.39%
8-Nov-13,9295.56,9298.06,9356.07,9266.31,-,-0.10%
